playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z obstacle_x obstacle_y obstacle_z distance_norm q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
10.847 0.3 -0.012 0.52 -0.0125501 -0.000483804 0.815651 0.15 -0.012 0.65 0.232369 -9.56627e-05 -1.07232 -0.000613901 -1.64582 -0.00173882 0.559618 -0.0194557
10.848 0.3 -0.012 0.52 -0.012422 -0.000492053 0.815433 0.15 -0.012 0.65 0.232124 -9.8629e-05 -1.0727 -0.000623354 -1.64688 -0.00177172 0.559938 -0.0194561
10.849 0.3 -0.012 0.52 -0.0122939 -0.000500326 0.815216 0.15 -0.012 0.65 0.231879 -0.000101635 -1.07308 -0.000632858 -1.64795 -0.00180463 0.560261 -0.0194565
10.85 0.3 -0.012 0.52 -0.0121656 -0.000508621 0.814998 0.15 -0.012 0.65 0.231633 -0.00010468 -1.07346 -0.000642412 -1.64902 -0.00183755 0.560587 -0.0194568
10.851 0.3 -0.012 0.52 -0.0120372 -0.000516939 0.814779 0.15 -0.012 0.65 0.231387 -0.000107763 -1.07384 -0.000652016 -1.65009 -0.00187048 0.560915 -0.0194572
10.852 0.3 -0.012 0.52 -0.0119088 -0.000525278 0.814561 0.15 -0.012 0.65 0.231141 -0.000110886 -1.07422 -0.000661669 -1.65116 -0.00190341 0.561247 -0.0194575
10.853 0.3 -0.012 0.52 -0.0117802 -0.000533639 0.814342 0.15 -0.012 0.65 0.230895 -0.000114046 -1.07461 -0.00067137 -1.65223 -0.00193635 0.561581 -0.0194579
10.854 0.3 -0.012 0.52 -0.0116516 -0.00054202 0.814122 0.15 -0.012 0.65 0.230648 -0.000117244 -1.07499 -0.00068112 -1.65331 -0.00196928 0.561918 -0.0194582
10.855 0.3 -0.012 0.52 -0.0115229 -0.000550422 0.813903 0.15 -0.012 0.65 0.230402 -0.000120479 -1.07538 -0.000690918 -1.65438 -0.00200221 0.562258 -0.0194585
10.856 0.3 -0.012 0.52 -0.0113941 -0.000558845 0.813683 0.15 -0.012 0.65 0.230155 -0.000123752 -1.07576 -0.000700763 -1.65546 -0.00203514 0.562601 -0.0194588
10.857 0.3 -0.012 0.52 -0.0112653 -0.000567286 0.813463 0.15 -0.012 0.65 0.229907 -0.000127061 -1.07615 -0.000710655 -1.65654 -0.00206807 0.562947 -0.0194591
10.858 0.3 -0.012 0.52 -0.0111363 -0.000575747 0.813243 0.15 -0.012 0.65 0.22966 -0.000130406 -1.07654 -0.000720593 -1.65762 -0.00210098 0.563295 -0.0194594
10.859 0.3 -0.012 0.52 -0.0110073 -0.000584227 0.813023 0.15 -0.012 0.65 0.229412 -0.000133788 -1.07693 -0.000730578 -1.6587 -0.00213389 0.563646 -0.0194597
10.86 0.3 -0.012 0.52 -0.0108783 -0.000592726 0.812802 0.15 -0.012 0.65 0.229165 -0.000137205 -1.07732 -0.000740608 -1.65978 -0.00216679 0.564 -0.01946
10.861 0.3 -0.012 0.52 -0.0107492 -0.000601242 0.812581 0.15 -0.012 0.65 0.228917 -0.000140658 -1.07772 -0.000750683 -1.66086 -0.00219967 0.564357 -0.0194603
10.862 0.3 -0.012 0.52 -0.01062 -0.000609776 0.81236 0.15 -0.012 0.65 0.228668 -0.000144145 -1.07811 -0.000760804 -1.66194 -0.00223254 0.564716 -0.0194606
10.863 0.3 -0.012 0.52 -0.0104908 -0.000618328 0.812139 0.15 -0.012 0.65 0.22842 -0.000147667 -1.0785 -0.000770969 -1.66303 -0.0022654 0.565078 -0.0194608
10.864 0.3 -0.012 0.52 -0.0103615 -0.000626896 0.811917 0.15 -0.012 0.65 0.228172 -0.000151224 -1.0789 -0.000781178 -1.66411 -0.00229824 0.565443 -0.0194611
10.865 0.3 -0.012 0.52 -0.0102322 -0.000635482 0.811695 0.15 -0.012 0.65 0.227923 -0.000154815 -1.0793 -0.000791431 -1.6652 -0.00233106 0.56581 -0.0194613
10.866 0.3 -0.012 0.52 -0.0101028 -0.000644083 0.811474 0.15 -0.012 0.65 0.227674 -0.000158439 -1.07969 -0.000801728 -1.66629 -0.00236386 0.56618 -0.0194615
10.867 0.3 -0.012 0.52 -0.00997341 -0.000652701 0.811252 0.15 -0.012 0.65 0.227425 -0.000162097 -1.08009 -0.000812068 -1.66738 -0.00239663 0.566553 -0.0194618
10.868 0.3 -0.012 0.52 -0.00984395 -0.000661334 0.811029 0.15 -0.012 0.65 0.227176 -0.000165787 -1.08049 -0.00082245 -1.66846 -0.00242939 0.566928 -0.019462
10.869 0.3 -0.012 0.52 -0.00971446 -0.000669983 0.810807 0.15 -0.012 0.65 0.226927 -0.000169511 -1.08089 -0.000832875 -1.66955 -0.00246212 0.567305 -0.0194622
10.87 0.3 -0.012 0.52 -0.00958492 -0.000678647 0.810585 0.15 -0.012 0.65 0.226678 -0.000173267 -1.08129 -0.000843342 -1.67064 -0.00249482 0.567686 -0.0194624
10.871 0.3 -0.012 0.52 -0.00945535 -0.000687326 0.810362 0.15 -0.012 0.65 0.226429 -0.000177055 -1.08169 -0.000853851 -1.67174 -0.0025275 0.568068 -0.0194626
10.872 0.3 -0.012 0.52 -0.00932574 -0.000696019 0.810139 0.15 -0.012 0.65 0.226179 -0.000180875 -1.08209 -0.000864401 -1.67283 -0.00256015 0.568454 -0.0194628
10.873 0.3 -0.012 0.52 -0.0091961 -0.000704726 0.809916 0.15 -0.012 0.65 0.22593 -0.000184726 -1.0825 -0.000874992 -1.67392 -0.00259277 0.568842 -0.0194629
10.874 0.3 -0.012 0.52 -0.00906642 -0.000713448 0.809693 0.15 -0.012 0.65 0.22568 -0.000188609 -1.0829 -0.000885625 -1.67501 -0.00262536 0.569232 -0.0194631
10.875 0.3 -0.012 0.52 -0.00893672 -0.000722183 0.80947 0.15 -0.012 0.65 0.22543 -0.000192523 -1.0833 -0.000896298 -1.67611 -0.00265791 0.569625 -0.0194633
10.876 0.3 -0.012 0.52 -0.00880698 -0.000730931 0.809247 0.15 -0.012 0.65 0.22518 -0.000196467 -1.08371 -0.000907011 -1.6772 -0.00269044 0.57002 -0.0194634
10.877 0.3 -0.012 0.52 -0.00867722 -0.000739693 0.809023 0.15 -0.012 0.65 0.22493 -0.000200442 -1.08411 -0.000917764 -1.67829 -0.00272293 0.570418 -0.0194636
10.878 0.3 -0.012 0.52 -0.00854743 -0.000748467 0.8088 0.15 -0.012 0.65 0.22468 -0.000204447 -1.08452 -0.000928556 -1.67939 -0.00275538 0.570818 -0.0194637
10.879 0.3 -0.012 0.52 -0.00841761 -0.000757255 0.808576 0.15 -0.012 0.65 0.22443 -0.000208481 -1.08493 -0.000939388 -1.68048 -0.0027878 0.57122 -0.0194638
10.88 0.3 -0.012 0.52 -0.00828776 -0.000766054 0.808352 0.15 -0.012 0.65 0.22418 -0.000212545 -1.08533 -0.00095026 -1.68158 -0.00282018 0.571625 -0.019464
10.881 0.3 -0.012 0.52 -0.0081579 -0.000774866 0.808129 0.15 -0.012 0.65 0.22393 -0.000216639 -1.08574 -0.00096117 -1.68268 -0.00285253 0.572032 -0.0194641
10.882 0.3 -0.012 0.52 -0.008028 -0.00078369 0.807905 0.15 -0.012 0.65 0.22368 -0.000220761 -1.08615 -0.000972118 -1.68377 -0.00288483 0.572442 -0.0194642
10.883 0.3 -0.012 0.52 -0.00789809 -0.000792525 0.807681 0.15 -0.012 0.65 0.223429 -0.000224913 -1.08656 -0.000983105 -1.68487 -0.00291709 0.572854 -0.0194643
10.884 0.3 -0.012 0.52 -0.00776815 -0.000801372 0.807457 0.15 -0.012 0.65 0.223179 -0.000229092 -1.08697 -0.00099413 -1.68597 -0.00294932 0.573268 -0.0194644
