playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
11.188 0.554701 0.0197591 0.62483 0.554761 0.0128919 0.62485 -0.342066 -0.000888588 0.364424 -1.57224 0.00370324 1.57724 0.0324833
11.189 0.554701 0.0197591 0.62483 0.554761 0.0129943 0.62485 -0.348068 -0.000880529 0.37061 -1.57222 0.00370057 1.57724 0.0324907
11.19 0.554701 0.0197591 0.62483 0.554762 0.0130953 0.62485 -0.354082 -0.000872589 0.376805 -1.57221 0.00369797 1.57723 0.0324981
11.191 0.554701 0.0197591 0.62483 0.554762 0.0131951 0.624851 -0.360107 -0.000864772 0.383009 -1.5722 0.00369545 1.57723 0.0325054
11.192 0.554701 0.0197591 0.62483 0.554763 0.0132936 0.624851 -0.366142 -0.000857084 0.38922 -1.57219 0.003693 1.57723 0.0325126
11.193 0.554701 0.0197591 0.62483 0.554763 0.0133908 0.624851 -0.372184 -0.000849528 0.395438 -1.57218 0.00369064 1.57723 0.0325197
11.194 0.554701 0.0197591 0.62483 0.554764 0.0134867 0.624852 -0.378235 -0.000842109 0.40166 -1.57217 0.00368835 1.57723 0.0325267
11.195 0.554701 0.0197591 0.62483 0.554764 0.0135814 0.624852 -0.384291 -0.000834833 0.407886 -1.57216 0.00368615 1.57723 0.0325336
11.196 0.554701 0.0197591 0.62483 0.554765 0.0136747 0.624852 -0.390352 -0.000827703 0.414115 -1.57214 0.00368404 1.57723 0.0325404
11.197 0.554701 0.0197591 0.62483 0.554765 0.0137668 0.624852 -0.396418 -0.000820724 0.420346 -1.57213 0.00368202 1.57723 0.0325471
11.198 0.554701 0.0197591 0.62483 0.554765 0.0138577 0.624853 -0.402486 -0.0008139 0.426578 -1.57212 0.0036801 1.57723 0.0325537
11.199 0.554701 0.0197591 0.62483 0.554766 0.0139472 0.624853 -0.408557 -0.000807236 0.432809 -1.57211 0.00367827 1.57723 0.0325602
11.2 0.554701 0.0197591 0.62483 0.554766 0.0140356 0.624853 -0.414628 -0.000800735 0.439039 -1.5721 0.00367654 1.57723 0.0325667
11.201 0.554701 0.0197591 0.62483 0.554766 0.0141227 0.624853 -0.4207 -0.000794402 0.445267 -1.57209 0.00367492 1.57723 0.0325731
11.202 0.554701 0.0197591 0.62483 0.554766 0.0142085 0.624854 -0.42677 -0.000788241 0.451491 -1.57208 0.0036734 1.57723 0.0325793
11.203 0.554701 0.0197591 0.62483 0.554767 0.0142931 0.624854 -0.432838 -0.000782256 0.457711 -1.57207 0.00367199 1.57723 0.0325855
11.204 0.554701 0.0197591 0.62483 0.554767 0.0143765 0.624854 -0.438904 -0.000776451 0.463926 -1.57207 0.00367069 1.57722 0.0325916
11.205 0.554701 0.0197591 0.62483 0.554767 0.0144587 0.624854 -0.444965 -0.000770829 0.470134 -1.57206 0.0036695 1.57722 0.0325977
11.206 0.554701 0.0197591 0.62483 0.554767 0.0145397 0.624855 -0.451021 -0.000765395 0.476336 -1.57205 0.00366844 1.57722 0.0326036
11.207 0.554701 0.0197591 0.62483 0.554767 0.0146195 0.624855 -0.457072 -0.000760151 0.482529 -1.57204 0.00366749 1.57722 0.0326095
11.208 0.554701 0.0197591 0.62483 0.554767 0.0146982 0.624855 -0.463116 -0.000755102 0.488714 -1.57203 0.00366666 1.57722 0.0326153
11.209 0.554701 0.0197591 0.62483 0.554767 0.0147756 0.624855 -0.469152 -0.000750251 0.494889 -1.57202 0.00366596 1.57722 0.032621
11.21 0.554701 0.0197591 0.62483 0.554767 0.0148519 0.624855 -0.47518 -0.000745601 0.501054 -1.57201 0.00366539 1.57722 0.0326267
11.211 0.554701 0.0197591 0.62483 0.554767 0.014927 0.624856 -0.481198 -0.000741155 0.507206 -1.57201 0.00366495 1.57722 0.0326323
11.212 0.554701 0.0197591 0.62483 0.554767 0.015001 0.624856 -0.487207 -0.000736917 0.513347 -1.572 0.00366464 1.57722 0.0326378
11.213 0.554701 0.0197591 0.62483 0.554766 0.0150738 0.624856 -0.493204 -0.00073289 0.519475 -1.57199 0.00366447 1.57722 0.0326432
11.214 0.554701 0.0197591 0.62483 0.554766 0.0151455 0.624856 -0.49919 -0.000729077 0.525589 -1.57199 0.00366443 1.57722 0.0326486
11.215 0.554701 0.0197591 0.62483 0.554766 0.0152161 0.624856 -0.505163 -0.00072548 0.531688 -1.57198 0.00366454 1.57722 0.0326539
11.216 0.554701 0.0197591 0.62483 0.554766 0.0152855 0.624856 -0.511123 -0.000722103 0.537772 -1.57197 0.00366479 1.57722 0.0326591
11.217 0.554701 0.0197591 0.62483 0.554765 0.0153539 0.624857 -0.517069 -0.000718948 0.54384 -1.57197 0.00366518 1.57722 0.0326643
11.218 0.554701 0.0197591 0.62483 0.554765 0.0154212 0.624857 -0.523 -0.000716017 0.549891 -1.57196 0.00366573 1.57722 0.0326694
11.219 0.554701 0.0197591 0.62483 0.554765 0.0154874 0.624857 -0.528915 -0.000713314 0.555924 -1.57195 0.00366642 1.57722 0.0326744
11.22 0.554701 0.0197591 0.62483 0.554764 0.0155525 0.624857 -0.534815 -0.00071084 0.561939 -1.57195 0.00366726 1.57722 0.0326794
11.221 0.554701 0.0197591 0.62483 0.554764 0.0156166 0.624857 -0.540697 -0.000708599 0.567936 -1.57194 0.00366826 1.57722 0.0326843
11.222 0.554701 0.0197591 0.62483 0.554763 0.0156797 0.624857 -0.546562 -0.000706591 0.573913 -1.57194 0.00366942 1.57722 0.0326891
11.223 0.554701 0.0197591 0.62483 0.554763 0.0157417 0.624857 -0.552408 -0.000704819 0.579869 -1.57193 0.00367074 1.57722 0.0326939
11.224 0.554701 0.0197591 0.62483 0.554762 0.0158026 0.624857 -0.558236 -0.000703286 0.585805 -1.57193 0.00367222 1.57722 0.0326987
11.225 0.554701 0.0197591 0.62483 0.554761 0.0158626 0.624857 -0.564045 -0.000701992 0.59172 -1.57193 0.00367386 1.57722 0.0327033
11.226 0.554701 0.0197591 0.62483 0.554761 0.0159216 0.624857 -0.569833 -0.00070094 0.597612 -1.57192 0.00367566 1.57722 0.032708
11.227 0.554701 0.0197591 0.62483 0.55476 0.0159795 0.624858 -0.5756 -0.000700131 0.603482 -1.57192 0.00367764 1.57722 0.0327125
11.228 0.554701 0.0197591 0.62483 0.554759 0.0160365 0.624858 -0.581346 -0.000699567 0.609329 -1.57191 0.00367978 1.57722 0.032717
11.229 0.554701 0.0197591 0.62483 0.554758 0.0160926 0.624858 -0.587071 -0.000699249 0.615153 -1.57191 0.0036821 1.57722 0.0327215
11.23 0.554701 0.0197591 0.62483 0.554758 0.0161476 0.624858 -0.592773 -0.000699179 0.620951 -1.57191 0.00368458 1.57722 0.0327259
11.231 0.554701 0.0197591 0.62483 0.554757 0.0162017 0.624858 -0.598452 -0.000699358 0.626726 -1.57191 0.00368725 1.57722 0.0327302
11.232 0.554701 0.0197591 0.62483 0.554756 0.0162549 0.624858 -0.604107 -0.000699786 0.632475 -1.5719 0.00369009 1.57722 0.0327345
11.233 0.554701 0.0197591 0.62483 0.554755 0.0163072 0.624858 -0.609739 -0.000700465 0.638198 -1.5719 0.0036931 1.57722 0.0327387
11.234 0.554701 0.0197591 0.62483 0.554754 0.0163585 0.624858 -0.615346 -0.000701396 0.643895 -1.5719 0.0036963 1.57722 0.0327429
11.235 0.554701 0.0197591 0.62483 0.554753 0.016409 0.624858 -0.620928 -0.000702579 0.649566 -1.5719 0.00369967 1.57722 0.032747
11.236 0.554701 0.0197591 0.62483 0.554752 0.0164586 0.624858 -0.626485 -0.000704015 0.655209 -1.5719 0.00370323 1.57722 0.0327511
11.237 0.554701 0.0197591 0.62483 0.554751 0.0165072 0.624858 -0.632016 -0.000705704 0.660825 -1.5719 0.00370698 1.57722 0.0327551
11.238 0.554701 0.0197591 0.62483 0.55475 0.0165551 0.624858 -0.637521 -0.000707647 0.666413 -1.57189 0.00371091 1.57722 0.0327591
11.239 0.554701 0.0197591 0.62483 0.554749 0.016602 0.624857 -0.642999 -0.000709845 0.671972 -1.57189 0.00371502 1.57722 0.032763
11.24 0.554701 0.0197591 0.62483 0.554747 0.0166481 0.624857 -0.64845 -0.000712297 0.677503 -1.57189 0.00371932 1.57722 0.0327669
11.241 0.554701 0.0197591 0.62483 0.554746 0.0166934 0.624857 -0.653873 -0.000715003 0.683005 -1.57189 0.00372381 1.57722 0.0327708
11.242 0.554701 0.0197591 0.62483 0.554745 0.0167379 0.624857 -0.659269 -0.000717964 0.688477 -1.57189 0.0037285 1.57722 0.0327745
11.243 0.554701 0.0197591 0.62483 0.554744 0.0167815 0.624857 -0.664636 -0.000721179 0.693919 -1.57189 0.00373337 1.57722 0.0327783
11.244 0.554701 0.0197591 0.62483 0.554742 0.0168244 0.624857 -0.669975 -0.000724648 0.699332 -1.57189 0.00373843 1.57722 0.032782
11.245 0.554701 0.0197591 0.62483 0.554741 0.0168665 0.624857 -0.675284 -0.000728371 0.704713 -1.57189 0.00374369 1.57722 0.0327856
11.246 0.554701 0.0197591 0.62483 0.55474 0.0169078 0.624857 -0.680565 -0.000732347 0.710064 -1.5719 0.00374913 1.57722 0.0327893
